offset,prediction,anomaly_score,actual
2445,0,0.06296254098574794,0.0
2446,0,0.08578873446976865,0.0
2447,0,0.08812129539619651,0.0
2448,0,0.11969300170412334,0.0
2449,0,0.11245257125524655,0.0
2450,0,0.10130950568668184,0.0
2451,0,0.09794017866484461,0.0
2452,0,0.09469331444764295,0.0
2453,0,0.0662713102907701,0.0
2454,0,0.08068493790171805,0.0
2455,1,-0.03777375887350365,1.0
2456,0,0.13694602389591504,0.0
2457,0,0.11233284354405515,0.0
2458,0,0.09522322441488629,0.0
2459,0,0.08265537660817518,0.0
2460,0,0.10856671594856288,0.0
2461,0,0.1256269953776757,0.0
2462,0,0.06846818167040225,0.0
2463,0,0.12944382836069074,0.0
2464,0,0.10567936413417667,0.0
2465,0,0.130378002755503,0.0
2466,0,0.08651564458319128,0.0
2467,0,0.09810236519746623,0.0
2468,0,0.0322646732719043,0.0
2469,0,0.07931515196044359,0.0
2470,0,0.13847352356957837,0.0
2471,0,0.13595324314655766,0.0
2472,0,0.040040401586311836,0.0
2473,0,0.12080402723817552,0.0
2474,0,0.09468418144760854,0.0
2475,0,0.0958129414540721,0.0
2476,0,0.11376580292868771,0.0
2477,1,-0.04438117229331251,1.0
2478,0,0.1169675002729545,0.0
2479,0,0.11506819414190061,0.0
2480,1,-0.1124321518048762,1.0
2481,0,0.07137187345187401,0.0
2482,0,0.12731219292975038,0.0
2483,0,0.09910350301510379,0.0
2484,0,0.0796463568979987,0.0
2485,0,0.021524328647700264,0.0
2486,0,0.09319927280697754,0.0
2487,0,0.09402946577949595,0.0
2488,0,0.0972283548185931,0.0
2489,0,0.10121230044310964,0.0
2490,0,0.08168910651386974,0.0
2491,0,0.08993206408114457,0.0
2492,0,0.07334752746707646,0.0
2493,0,0.04849253527886688,0.0
2494,0,0.10573854363302099,0.0
2495,0,0.050913857919836936,0.0
2496,0,0.07308991445440138,0.0
2497,0,0.1121993619438576,0.0
2498,0,0.13495799263856156,0.0
2499,0,0.05021312384292298,0.0
2500,0,0.09692273801877371,0.0
2501,0,0.08216439279520654,0.0
2502,0,0.050762134186205066,0.0
2503,0,0.1256959961257474,0.0
2504,0,0.08473072120678793,0.0
2505,0,0.08253926421879876,0.0
2506,0,0.11736034433997616,0.0
2507,0,0.10913244860014581,0.0
2508,0,0.07667568473373454,0.0
2509,0,0.09210409620988735,0.0
2510,0,0.021608447310243695,1.0
2511,0,0.10427266055834228,0.0
2512,0,0.0751822506461774,0.0
2513,0,0.04197902398513598,0.0
2514,0,0.08053628444214073,0.0
2515,0,0.11114167560106974,0.0
2516,0,0.10007441701320546,0.0
2517,1,-0.07571072351716934,1.0
2518,0,0.10717129580358925,0.0
2519,0,0.11673611355032554,0.0
2520,0,0.10935291396954355,0.0
